Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2009/10,Hong Kong Baptist University,Research grants,New,Other UGC Grants,Amount (HK$ million),3,
2009/10,Hong Kong Baptist University,Research grants,New,RGC Direct,Amount (HK$ million),5,
2009/10,Hong Kong Baptist University,Research grants,On-going,Block Grant,Amount (HK$ million),40,
2009/10,Hong Kong Baptist University,Research grants,On-going,HKSAR Government,Amount (HK$ million),27,
2009/10,Hong Kong Baptist University,Research grants,On-going,Hong Kong — other,Amount (HK$ million),6,
2009/10,Hong Kong Baptist University,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),4,
2009/10,Hong Kong Baptist University,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),1,
2009/10,Hong Kong Baptist University,Research grants,On-going,Non-HK,Amount (HK$ million),1,
2009/10,Hong Kong Baptist University,Research grants,On-going,Other RGC Grants,Amount (HK$ million),98,
2009/10,Hong Kong Baptist University,Research grants,On-going,Other UGC Grants,Amount (HK$ million),28,
2009/10,Hong Kong Baptist University,Research grants,On-going,RGC Direct,Amount (HK$ million),17,
2009/10,Lingnan University,Research grants,New,Block Grant,Amount (HK$ million),1,
2009/10,Lingnan University,Research grants,New,HKSAR Government,Amount (HK$ million),3,
2009/10,Lingnan University,Research grants,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Lingnan University,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Lingnan University,Research grants,New,Hong Kong Industry,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Lingnan University,Research grants,New,Non-HK,Amount (HK$ million),1,
2009/10,Lingnan University,Research grants,New,Other RGC Grants,Amount (HK$ million),1,
2009/10,Lingnan University,Research grants,New,Other UGC Grants,Amount (HK$ million),4,
2009/10,Lingnan University,Research grants,New,RGC Direct,Amount (HK$ million),2,
2009/10,Lingnan University,Research grants,On-going,Block Grant,Amount (HK$ million),1,
2009/10,Lingnan University,Research grants,On-going,HKSAR Government,Amount (HK$ million),4,
2009/10,Lingnan University,Research grants,On-going,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Lingnan University,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),1,
2009/10,Lingnan University,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,Lingnan University,Research grants,On-going,Non-HK,Amount (HK$ million),1,
2009/10,Lingnan University,Research grants,On-going,Other RGC Grants,Amount (HK$ million),6,
2009/10,Lingnan University,Research grants,On-going,Other UGC Grants,Amount (HK$ million),4,
2009/10,Lingnan University,Research grants,On-going,RGC Direct,Amount (HK$ million),7,
2009/10,The Chinese University of Hong Kong,Research contracts,New,HKSAR Government,Amount (HK$ million),34,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),1,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),3,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Hong Kong Industry,Amount (HK$ million),36,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),28,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,HKSAR Government,Amount (HK$ million),280,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),30,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),8,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),143,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),59,
2009/10,The Chinese University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),15,
2009/10,The Chinese University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),124,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),24,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Amount (HK$ million),8,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong Industry,Amount (HK$ million),12,
2009/10,The Chinese University of Hong Kong,Research grants,New,Non-HK,Amount (HK$ million),17,
2009/10,The Chinese University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),161,
2009/10,The Chinese University of Hong Kong,Research grants,New,Other UGC Grants,Amount (HK$ million),22,
2009/10,The Chinese University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),14,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),118,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),317,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),239,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Amount (HK$ million),183,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong Industry,Amount (HK$ million),97,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Non-HK,Amount (HK$ million),71,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),519,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Other UGC Grants,Amount (HK$ million),95,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),38,
2009/10,The Education University of Hong Kong,Research contracts,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,The Education University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Amount (HK$ million),2,
2009/10,The Education University of Hong Kong,Research contracts,New,Non-HK,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,The Education University of Hong Kong,Research contracts,On-going,Hong Kong — other,Amount (HK$ million),1,
2009/10,The Education University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Amount (HK$ million),11,
2009/10,The Education University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,The Education University of Hong Kong,Research contracts,On-going,Non-HK,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,The Education University of Hong Kong,Research grants,New,Block Grant,Amount (HK$ million),4,
2009/10,The Education University of Hong Kong,Research grants,New,HKSAR Government,Amount (HK$ million),13,
2009/10,The Education University of Hong Kong,Research grants,New,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,The Education University of Hong Kong,Research grants,New,Other RGC Grants,Amount (HK$ million),10,
2009/10,The Education University of Hong Kong,Research grants,New,RGC Direct,Amount (HK$ million),2,
2009/10,The Education University of Hong Kong,Research grants,On-going,Block Grant,Amount (HK$ million),25,
2009/10,The Education University of Hong Kong,Research grants,On-going,HKSAR Government,Amount (HK$ million),88,
2009/10,The Education University of Hong Kong,Research grants,On-going,Hong Kong — other,Amount (HK$ million),*,‘*’ denotes magnitude of less than 0.5. 
2009/10,The Education University of Hong Kong,Research grants,On-going,Other RGC Grants,Amount (HK$ million),18,
2009/10,The Education University of Hong Kong,Research grants,On-going,RGC Direct,Amount (HK$ million),5,
